1  number of sets, Nset
 - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
#1	user_mads generated blade	
r                m        x_cg       y_cg         ri_x       ri_y        K_11      K_12			K_13			K_14			K_15			K_16      K_22			K_23			K_24			K_25			K_26        K_33			K_34			K_35			K_36			K_44			K_45			K_46			K_55			K_56			K_66
$1  51
0.0000000000000e+00 1.1895105466400e+03 -4.1985179888300e-03 -3.5059579962800e-03 1.8239711983242e+00 1.7652205934618e+00 1.9427843680000e+09 -1.5812900190800e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -2.4173408746700e-05 2.5082431319700e+09 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 4.1138380765900e-05 1.7786160255700e+10 1.1080773864500e+08 3.5161072702800e+07 0.0000000000000e+00 6.1873164266700e+10 2.6565061180200e+08 0.0000000000000e+00 6.1011576257900e+10 0.0000000000000e+00 2.7455792760000e+10
2.0287342138266e+00 1.1916429178100e+03 -5.4439618321400e-03 -3.6461930390600e-03 1.8246957021926e+00 1.7649711616308e+00 1.9466223927900e+09 -1.5732345857200e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.8051435947400e-06 2.5077701034700e+09 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -4.3680891394600e-05 1.7842098941100e+10 1.1244220424100e+08 4.8076353270200e+07 0.0000000000000e+00 6.2176913849500e+10 3.3325046473200e+08 0.0000000000000e+00 6.1116892969700e+10 0.0000000000000e+00 2.7477989483100e+10
3.7672177067938e+00 1.2027669426200e+03 -1.1758111526700e-02 -5.6973155683300e-03 1.8195845592517e+00 1.7598287272874e+00 1.9730134829100e+09 -1.5018673931600e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -1.3489276170700e-05 2.4865883675900e+09 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 5.2079558372500e-05 1.8082316832500e+10 7.8949712457200e+07 8.1910563136300e+07 0.0000000000000e+00 6.2996593014800e+10 7.0678951704200e+08 0.0000000000000e+00 6.1128352882100e+10 0.0000000000000e+00 2.7323879740600e+10
5.5053639298458e+00 1.1714868441700e+03 -1.7286160405900e-02 -5.4086717673700e-03 1.7927070049997e+00 1.7477169330902e+00 1.9535231666000e+09 -1.2550959975800e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 8.8494271040000e-06 2.3448023631900e+09 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -9.3448907136900e-06 1.7655763697200e+10 -1.6638708688300e+08 3.9410752261000e+08 0.0000000000000e+00 6.0148561390000e+10 1.4224387719700e+09 0.0000000000000e+00 5.8094191662800e+10 0.0000000000000e+00 2.5595670757500e+10
7.2432085194784e+00 1.1136234106900e+03 -1.4259188108700e-03 -8.2311449642400e-03 1.7357516874956e+00 1.7214393982057e+00 1.8538489262400e+09 -1.0469367151400e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -8.4295868873600e-05 2.0825105011100e+09 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -9.6857547760000e-06 1.6848636501200e+10 -2.7561604103100e+08 4.0173891584000e+08 0.0000000000000e+00 5.4560492508600e+10 2.4029282918700e+09 0.0000000000000e+00 5.3055473478500e+10 0.0000000000000e+00 2.2140914647900e+10
8.9806072350267e+00 1.0493102458700e+03 1.9160353190000e-02 -3.6385611942200e-03 1.6511294400984e+00 1.6884748625304e+00 1.7811217668700e+09 -8.1396719868300e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -2.3478269577000e-04 1.7781323161100e+09 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.7358531951900e-05 1.5961225921900e+10 -5.5161734395100e+08 1.1380473904400e+09 0.0000000000000e+00 4.7243978418600e+10 3.3311527542500e+09 0.0000000000000e+00 4.7823811285500e+10 0.0000000000000e+00 1.8390273001100e+10
1.0717205801481e+01 9.7462848090200e+02 9.8114665200400e-02 3.9630065014200e-03 1.5338465145250e+00 1.6501185866595e+00 1.6483524960000e+09 -7.4692107324100e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -2.2408366203300e-04 1.4558790006400e+09 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 2.9885768890400e-04 1.4828621723600e+10 -8.8030703249200e+08 2.2890628109500e+09 0.0000000000000e+00 3.8647007485000e+10 3.7330191183500e+09 0.0000000000000e+00 4.1489359101200e+10 0.0000000000000e+00 1.3969638610300e+10
1.2452054213651e+01 9.0874188779200e+02 1.5616383151500e-01 1.2428562115700e-02 1.3918932597428e+00 1.6317107367650e+00 1.5104364555900e+09 -7.6865342672700e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 7.4580311775200e-04 1.1746267728100e+09 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -3.0922889709500e-04 1.3850724151900e+10 -1.2349123479000e+09 4.0887675178100e+09 0.0000000000000e+00 3.0287213704500e+10 3.3428711479000e+09 0.0000000000000e+00 3.7287723477400e+10 0.0000000000000e+00 1.0100617809200e+10
1.4188681208001e+01 8.6887170142100e+02 2.5432851905800e-01 2.2064361519000e-02 1.2562027683611e+00 1.6219509235712e+00 1.4450689642900e+09 -8.3376897420100e+07 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 4.6212822198900e-02 9.8789080484300e+08 0.0000000000000e+00 0.0000000000000e+00 0.0000000000000e+00 -3.8933753967300e-03 1.3254621394100e+10 -9.9510285637700e+08 5.8845567899700e+09 0.0000000000000e+00 2.3930800680900e+10 2.9567380280600e+09 0.0000000000000e+00 3.5214357965100e+10 0.0000000000000e+00 7.4476993506000e+09
