1 HAWC_AE data
1 30 r,c,t/c prin.set
0.000000 5.380000 100.000000 1
2.732452 5.388234 99.317889 1
5.744942 5.358422 94.692898 1
9.036720 5.509580 82.551707 1
12.598863 5.764223 66.869353 1
16.413213 6.014631 52.946162 1
20.451864 6.176012 42.701591 1
24.677300 6.192523 36.271281 1
29.043315 6.053251 32.642446 1
33.496767 5.806422 30.174182 1
37.980018 5.485137 28.173149 1
42.433826 5.121348 26.624996 1
46.800491 4.745117 25.504661 1
51.026734 4.384974 24.761536 1
55.066214 4.051400 24.321562 1
58.881257 3.743847 24.099515 1
62.443832 3.461449 24.022075 1
65.735697 3.203090 24.022747 1
68.747880 2.967745 24.065109 1
71.479650 2.754282 24.113765 1
73.937125 2.561601 24.152021 1
76.131803 2.388528 24.171192 1
78.079087 2.233845 24.168423 1
79.796928 2.096285 24.146261 1
81.304672 1.974544 24.107465 1
82.622118 1.864551 24.056533 1
83.768813 1.723708 24.028185 1
84.763506 1.496706 24.062539 1
85.623811 1.175735 24.093019 1
86.366000 0.600097 24.099838 1
