1           Chord[m]    T/C[perc]  Set no.
1  19 Blade
    0.0000     3.5420   100.0000    1
    1.3670     3.5420   100.0000    1
    4.1000     3.8540   100.0000    1
    6.8330     4.1670    90.0000    1
   10.2500     4.5570    40.0000    1
   14.3500     4.6520    35.0000    1
   18.4500     4.4580    35.0000    1
   22.5500     4.2490    30.0000    1
   26.6500     4.0070    25.0000    1
   30.7500     3.7480    25.0000    1
   34.8503     3.5020    21.0000    1
   38.9570     3.2560    21.0000    1
   43.0777     3.0100    17.0000    1
   47.2200     2.7640    17.0000    1
   51.3914     2.5180    17.0000    1
   54.8954     2.3130    17.0000    1
   57.7169     2.0860    17.0000    1
   60.5435     1.4190    17.0000    1
   61.9603     0.9610    17.0000    1
